A1CAP;2023-08-21;2024-02-28
AEFES;2020-07-13;2024-04-22
AES;2021-10-04;2024-05-10
AFS;2021-11-24;2024-05-10
AFYON;2021-01-07;2021-01-29
AGHOL;2020-07-01;2020-10-30
AGROT;2023-11-17;2023-12-05
AKSEN;2020-07-29;2024-02-28
ALBRK;2020-07-02;2020-07-14
ASELS;2020-07-06;2021-01-29
AYDEM;2021-04-26;2021-04-26
BAKAB;2024-01-30;2024-02-21
BAYRK;2023-12-22;2024-02-06
BERA;2023-01-06;2023-05-17
BIMAS;2023-11-21;2023-11-21
BRISA;2021-11-02;2021-11-02
BRMEN;2020-07-09;2020-07-13
BUY;2023-07-17;2024-05-09
CCOLA;2024-02-21;2024-04-22
CEMTS;2023-01-06;2023-05-17
CWENE;2023-04-26;2023-05-11
DAGHL;2023-12-14;2023-12-15
DARDL;2023-11-30;2023-12-11
DOHOL;2020-07-09;2020-10-16
DYOBY;2020-07-01;2020-07-14
DZGYO;2020-10-23;2020-10-30
EBEBK;2023-09-01;2024-04-16
EDATA;2023-01-06;2023-07-24
ENKAI;2023-12-14;2024-03-21
ENTRA;2024-04-01;2024-04-19
EREGL;2020-07-06;2020-07-14
EUPWR;2023-04-12;2023-05-12
EUR;2021-11-02;2023-02-10
FRIGO;2023-01-06;2023-05-17
GARAN;2020-07-06;2020-07-14
GARFA;2024-05-08;2024-06-11
GBC;2022-03-04;2024-05-17
GBP;2021-10-29;2023-02-10
GGK;2023-12-27;2024-03-01
GOH;2022-07-07;2023-12-05
GSP;2022-07-05;2024-05-17
GUBRF;2020-10-07;2020-10-13
GZL;2021-11-24;2024-05-10
IBB;2020-07-24;2020-08-21
IJP;2021-04-29;2021-04-29
IPB;2023-12-12;2024-05-17
IPJ;2020-07-28;2022-07-13
IPV;2022-06-16;2023-11-20
ISCTR;2022-05-12;2024-02-27
ISMEN;2020-11-02;2021-03-22
ITP;2021-03-23;2023-02-03
KARSN;2020-09-04;2021-03-22
KCHOL;2024-04-22;2024-04-22
KLKIM;2023-11-21;2023-11-28
KLSER;2023-07-20;2023-12-27
KONKA;2023-01-06;2023-05-17
KOTON;2024-05-03;2024-05-15
KOZAL;2020-08-19;2024-02-28
LILAK;2024-05-03;2024-05-15
LOGO;2023-11-22;2023-12-27
MAC;2020-12-08;2021-03-19
MAKTK;2020-07-03;2020-07-14
MAVI;2020-10-22;2024-03-19
MERCN;2023-01-06;2023-05-17
MGROS;2020-07-03;2023-11-21
MIATK;2023-11-30;2024-03-22
MPARK;2024-04-22;2024-04-22
NNF;2020-11-23;2024-01-05
NRC;2023-05-24;2024-05-17
ODAS;2020-12-14;2021-02-01
OPH;2021-03-18;2021-03-25
ORGE;2023-01-06;2023-05-17
OSMEN;2023-01-06;2023-05-17
OTJ;2022-03-04;2022-11-09
OYAKC;2023-06-01;2024-05-08
PETKM;2020-07-09;2020-07-14
POLHO;2020-10-08;2020-10-15
REPO;2020-07-23;2023-07-17
RUBNS;2023-01-06;2023-05-17
SAHOL;2020-07-09;2020-07-14
SARKY;2020-08-28;2021-11-17
SELEC;2022-07-01;2024-04-16
SEYKM;2022-12-05;2023-05-17
SISE;2023-01-06;2023-11-30
SOKM;2020-10-16;2020-10-22
TABGD;2023-10-20;2023-12-05
TAU;2022-08-23;2022-11-08
TCD;2020-11-23;2021-03-25
TCELL;2023-07-07;2024-05-14
TGE;2021-03-29;2023-08-04
TI3;2022-09-05;2024-02-28
TIV;2021-04-19;2021-11-22
TKM;2020-11-20;2024-05-17
TLMAN;2022-01-05;2022-08-19
TMG;2023-12-14;2024-05-17
TMSN;2021-03-30;2021-03-30
TRY;2020-06-29;2024-06-25
TSKB;2020-07-07;2020-07-10
TTA;2020-07-27;2024-05-07
TTKOM;2023-07-07;2024-04-22
TUKAS;2020-11-19;2023-05-17
UFUK;2024-04-24;2024-05-15
USD;2020-07-03;2023-08-07
VAKBN;2020-11-23;2021-01-29
VAKKO;2023-01-06;2023-05-17
VESBE;2021-11-02;2021-11-02
W_ALIDF;2020-07-03;2020-07-24
W_ALIDJ;2020-07-27;2020-08-13
W_EXIFI;2020-09-03;2020-11-04
W_EXILM;2022-10-14;2023-01-04
W_PBIJF;2021-10-22;2021-12-28
W_PBIWF;2023-06-07;2023-06-07
W_TOIMC;2023-10-13;2023-10-17
W_UDIIG;2020-08-10;2020-08-11
YAY;2023-12-14;2023-12-14
YUNSA;2022-10-14;2022-10-14
ZPBDLF;2020-10-07;2020-11-13
ZPLIB;2024-04-25;2024-04-25
ZRGYO;2021-05-03;2021-05-03